skuVal,title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
15104323,Whitmor Wood Household Shelves,9.32,Out of stock,1123,NOT_AVAILABLE,77GFCGNGZYX3,Home Page/Home/Storage & Organization/Storage Furniture/Shelving Storage,B3217909,False,Shelves & Shelf Units,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,038861087267,15104323,29678,SC,False,False,0003886108726
17244031,"Screwdriver,Phillips,#2 Tip Size STANLEY 62-561",5.13,Out of stock,1123,NOT_AVAILABLE,6XX464V67CPW,Home Page/Home Improvement/Tools/Hand Tools/Screwdrivers,G7719437,False,Screwdrivers,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,076174625615,17244031,29678,SC,False,True,0007617462561
50104005,"SheaMoisture Olive & Green Tea Hand/Body Scrub, 12 oz",9.87,Out of stock,1123,NOT_AVAILABLE,6ZIR9H76V01X,Home Page/Personal Care/Bath & Body/Body Scrubs & Exfoliators,764302211051,False,Body Scrubs,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,764302211051,50104005,29678,SC,False,False,0076430221105
45289278,"Disney Cars, Delta Children Inflatable Club Chair",19.99,Out of stock,1123,NOT_AVAILABLE,2BOEVZL2PF2B,Home Page/Home/Kids' Rooms/Kids' Furniture/Kids' Chairs & Seating,00080213045616,False,Armchairs & Accent Chairs,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,080213045616,45289278,29678,SC,False,False,0008021304561
53983644,"Sunbeam Electric Heated Microplush Throw Blanket, 60-Inch by 50-Inch, Charlotte Gray (TSM8TRR89625AWD)",63.95,Out of stock,1123,NOT_AVAILABLE,74NBPVKPMOLC,Home Page/Home/Bedding/Blankets/Electric Blankets,00027045795487,False,Electric Blankets,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,027045795487,53983644,29678,SC,False,False,0002704579548
626200571,War Storm,13.98,Out of stock,1123,NOT_AVAILABLE,2RAFNTEAXBE0,Home Page/Books/Teen & Young Adult Books/Science Fiction & Fantasy/Fantasy/General,9780062422996,False,Books,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,,626200571,29678,SC,False,False,
21168748,"Bush Cabot L-shaped Computer Desk, Espresso Oak",235.0,Unknown,1123,AVAILABLE,5C5073CBE0OX,Home Page/Home/Furniture/Office Furniture/Desks,5506de17-67a3-40de-ad71-c0d1be513404,False,Desks,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,,21168748,29678,SC,False,False,1113010857559
55126152,LEGO City Police Mobile Command Center 60139,39.99,Out of stock,1123,NOT_AVAILABLE,1GDIK0JP30ZK,Home Page/Toys/Building Sets & Blocks/LEGO/LEGO,6174395,False,Interlocking Block Building Sets,Seneca Supercenter,1636 Sandifer Blvd,Seneca,True,673419263832,55126152,29678,SC,False,False,0067341926383
158612518,,7.0,Out of stock,1123,NOT_AVAILABLE,68LDBB8H4P0N,,,False,Outfit Sets,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,191685098397,885183638,29678,SC,False,True,0019168509839
24107772,Wilton Cake Leveler Tool,3.0,Limited stock,1123,AVAILABLE,4576CICC6YAT,Home Page/Home/Kitchen & Dining/Tools & Gadgets/Baking & Pastry Tools,415-810W,False,Cake Pans,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,070896458100,24107772,29678,SC,False,False,0007089645810
34201687,"Old Spice Paste, 2.64 oz. - Hair Styling for Men",6.79,Limited stock,1123,AVAILABLE,5VI5ZPGFSU0X,Home Page/Beauty/Hair Care/Styling Products,012044040263,False,"Hair Styling Gel, Mousse, Spray & Serum",Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,012044040263,34201687,29678,SC,False,False,0001204404026
51847396,Strike King Premier Plus Spinnerbait 3/8 oz,8.2,Out of stock,1123,NOT_AVAILABLE,24U05I9EJK2X,"Home Page/Sports & Outdoors/Outdoor Sports/Fishing/Lures, Baits and Attractants/All Lures, Baits and Attractants",SKIPPL38CW209S,False,Fishing Lures,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,051034174298,51847396,29678,SC,False,False,0005103417429
113089983,Pantene Pro-V Sheer Volume Conditioner 23.7 fl oz,6.42,In stock,1123,AVAILABLE,7ES9DE86KLB9,Home Page/Personal Care/Restock & Save On Hair Care/Conditioner,080878183159,False,Conditioners,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,080878183159,113089983,29678,SC,False,False,0008087818315
35067466,"Mitchum Women Advanced Control Shower Fresh Anti-Perspirant & Deodorant Gel Twin Pack, 3.4 oz, 2 pk",4.97,In stock,1123,AVAILABLE,5PZ79ZUWWX3A,Home Page/Personal Care/Deodorants & Antiperspirants,00309973105911,False,Deodorants & Antiperspirants,Seneca Supercenter,1636 Sandifer Blvd,Seneca,False,309973105911,35067466,29678,SC,False,False,0030997310591
