skuVal,title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
659113286,Skyscraper (4K Ultra HD + Blu-ray + Digital),22.28,In stock,2265,AVAILABLE,2AB88GTDQAA1,Home Page/Movies & TV Shows/Movies/Action & Adventure Movies/Action Thriller Movies,00191329041390,False,Movies,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,191329041390,659113286,29680,SC,False,False,
36916879,"Equate Nutritional Shake Plus, Strawberry, 8 oz, 6 Ct",6.74,Limited stock,2265,AVAILABLE,47WT31WI8RUQ,Home Page/Health/Home Health Care/Adult Nutrition,00681131062725,False,Nutrition Drinks,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,681131062725,36916879,29680,SC,False,False,0068113106272
741602575,,22.07,Unknown,2265,AVAILABLE,37MUOPCPL5I8,,,False,Prepared & Packaged Soups,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,071106720406,37532132,29680,SC,False,False,0007110672040
28911556,Survival Towel 2-pk,1.44,Limited stock,2265,AVAILABLE,57P3FCYUAEVA,Home Page/Home/Bath/Bath Towels,20-310-099,False,Towels & Washcloths,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,812713017486,28911556,29680,SC,False,False,0081271301748
47238139,"(4 Pack) Great Value Fruit & Grain Cereal Bars, Blueberry, 10.4 oz, 8 Count",7.45,Unknown,2265,AVAILABLE,4YMOX8JET91U,Home Page/Food/Breakfast & Cereal/Cereal & Breakfast Bars,6f27bae5-51c1-4488-8430-89302ed58c64,False,Breakfast Bars & Cereal Bars,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,47238139,29680,SC,False,False,
599831932,"Baby Dove Rich Moisture Baby Lotion, 20 oz",7.82,Limited stock,2265,AVAILABLE,4OD47WEZDZAQ,Home Page/Baby/Diapering/Baby Skin Care & Grooming,00011111638617,False,Baby Lotions,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,011111638617,599831932,29680,SC,False,False,0001111163861
43351247,"Bissell PowerFresh Steam Mop with Discs and Scrubber, 1940W",79.0,Limited stock,2265,AVAILABLE,4FL0E8SBUX75,Home Page/Home/Appliances/Vacuums & Floor Care/Steam Cleaners,00011120226928,False,Steam Mops,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,011120226928,43351247,29680,SC,False,False,0001112022692
10316358,"Reach Waxed Dental Floss, Unflavored, 55 Yards",0.97,Limited stock,2265,AVAILABLE,4WDI3TW71D60,Home Page/Personal Care/Oral Care/Dental Floss,9213,False,Dental Floss & Flossers,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,381370092131,10316358,29680,SC,False,False,0038137009213
23350705,SanDisk 16GB Class 4 SD Card,7.0,In stock,2265,AVAILABLE,14NGZVO1HBMP,Home Page/Electronics/Cameras & Camcorders/Camera Accessories/Memory Cards,DE1D547A183EA10,False,Flash Memory,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,619659095413,23350705,29680,SC,False,True,0061965909541
346007222,"PAW Patrol - 24"" Mighty Pups Jumbo Chase Plush for Ages 3 and Up, Wal-Mart Exclusive",17.99,In stock,2265,AVAILABLE,2XWPBZLQZPXH,Home Page/Toys/Character Shop/Paw Patrol Toys,20103082,False,Stuffed Animals & Plush Toys,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,True,778988159347,346007222,29680,SC,False,False,0077898815934
